mid,formula,site_index,cation,anion,cn,q,r0,b,n_shells_in_material,shell_weight,R_1,R_2,R_3,R_4,R_5,R_6
mp-1034187,LiMg14TiO16,0,Li,O,6,1,1.58619893894,0.332315034911,1,1,2.121039355,2.121039355,2.21664043295,2.21664043295,2.21664043295,2.21664043295
mp-1034976,LiMg14CoO16,0,Li,O,6,1,1.65983214656,0.290678984772,1,1,2.127661925,2.127661925,2.21128505776,2.21128505776,2.21128505776,2.21128505776
mp-1035108,LiMg14GaO16,0,Li,O,6,1,1.61245538783,0.320345337621,1,1,2.12482446,2.12482446,2.169591399,2.169591399,2.2856330356,2.2856330356
mp-1035113,LiMg14GaO16,0,Li,O,6,1,1.626472818,0.308223217666,1,1,2.12253895,2.12253895,2.21120924404,2.21120924404,2.21120924404,2.21120924404
mp-1035145,LiMg14CoO16,0,Li,O,6,1,1.4817054237,0.392082451126,1,1,2.115747125,2.115747125,2.15329512723,2.15329512723,2.30900756435,2.30900756435
mp-1035402,LiMg14CrO16,0,Li,O,6,1,1.65270784832,0.293013323122,1,1,2.114682255,2.114682255,2.17223885157,2.17223885157,2.26519866127,2.26519866127
mp-1035434,LiMg14CrO16,0,Li,O,6,1,1.52896682119,0.364314869979,1,1,2.115308985,2.115308985,2.22011584182,2.22011584182,2.22011584182,2.22011584182
mp-1035435,LiMg14FeO16,0,Li,O,6,1,1.71150006226,0.262265443647,1,1,2.123898465,2.123898465,2.17814542584,2.17814542584,2.25918366148,2.25918366148
mp-1035445,LiMg14FeO16,0,Li,O,6,1,1.62224633144,0.31202500555,1,1,2.124431205,2.124431205,2.21419520525,2.21419520525,2.21419520525,2.21419520525
mp-1035901,LiYMg14O16,0,Li,O,6,1,1.82546442968,0.207980418342,1,1,2.160196,2.160196,2.22002823778,2.22002823778,2.22002823778,2.22002823778
mp-1035918,LiYMg14O16,0,Li,O,6,1,2.40715451101,-0.1331416838,1,1,2.10911360865,2.10911360865,2.156699,2.156699,2.23135846278,2.23135846278
mp-1036089,LiMg14MnO16,0,Li,O,6,1,1.80707343158,0.211512084926,1,1,2.147489,2.147489,2.20833723494,2.20833723494,2.20833723494,2.20833723494
mp-1036220,LiMg14MnO16,0,Li,O,6,1,1.60966363381,0.324916662732,1,1,2.1305205,2.1305205,2.17300112727,2.17300112727,2.29302007228,2.29302007228
mp-1036528,LiMg14AlO16,0,Li,O,6,1,1.55051320963,0.350434015512,1,1,2.114515,2.114515,2.21532858384,2.21532858384,2.21532858384,2.21532858384
mp-1036537,LiMg14AlO16,0,Li,O,6,1,1.30974007936,0.496018446372,1,1,2.1154505,2.1154505,2.15401849088,2.15401849088,2.35809793522,2.35809793522
mp-1037085,LiMg30CoO32,0,Li,O,6,1,1.54899238641,0.358594274428,1,1,2.17830579324,2.17830579324,2.1982945492,2.1982945492,2.1982945492,2.1982945492
mp-1037086,LiMg30CoO32,0,Li,O,6,1,1.31224129808,0.494200154342,1,1,2.15912328575,2.15912328575,2.15912328575,2.15912328575,2.28536760204,2.28536760204
mp-1037593,LiMg30FeO32,0,Li,O,6,1,1.23755235879,0.533725751246,1,1,2.1742119621,2.1742119621,2.20396289385,2.20396289385,2.20396289385,2.20396289385
mp-1037656,LiYMg30O32,0,Li,O,6,1,3.0766730568,-0.504852057707,1,1,2.08257215933,2.08257215933,2.21153752345,2.21153752345,2.21153752345,2.21153752345
mp-1037661,LiYMg30O32,0,Li,O,6,1,2.57300893276,-0.211588641119,1,1,2.18988802956,2.18988802956,2.18988802956,2.18988802956,2.2016824,2.2016824
mp-1037677,LiMg30FeO32,0,Li,O,6,1,1.76606111213,0.232743859563,1,1,2.16490069296,2.16490069296,2.16490069296,2.16490069296,2.22435552956,2.22435552956
mp-1038037,LiMg30MnO32,0,Li,O,6,1,1.81002722034,0.216909082876,1,1,2.1906908384,2.1906908384,2.20278178081,2.20278178081,2.20278178081,2.20278178081
mp-1038038,LiMg30MnO32,0,Li,O,6,1,1.23040287927,0.541868784988,1,1,2.15897181971,2.15897181971,2.15897181971,2.15897181971,2.29739317325,2.29739317325
mp-1038204,LiMg30AlO32,0,Li,O,6,1,0.99232156094,0.677586663245,1,1,2.15346231564,2.15346231564,2.15346231564,2.15346231564,2.32655304473,2.32655304473
mp-1038227,LiMg30AlO32,0,Li,O,6,1,1.19960563377,0.55249569773,1,1,2.16920547012,2.16920547012,2.20000267592,2.20000267592,2.20000267592,2.20000267592
mp-1040009,LiMg30BiO32,0,Li,O,6,1,2.81217662901,-0.343288198846,1,1,2.19058898564,2.19058898564,2.19058898564,2.19058898564,2.20972455058,2.20972455058
mp-1040012,LiMg30SbO32,0,Li,O,6,1,3.42449579847,-0.717768707418,1,1,2.0111421133,2.0111421133,2.19449741768,2.19449741768,2.19449741768,2.19449741768
mp-1040014,LiMg30BiO32,0,Li,O,6,1,3.75648920304,-0.888704401097,1,1,2.00654715718,2.00654715718,2.23356829126,2.23356829126,2.23356829126,2.23356829126
mp-1040035,LiMg30SbO32,0,Li,O,6,1,2.63518792591,-0.245947375894,1,1,2.18985409186,2.18985409186,2.18985409186,2.18985409186,2.2035636863,2.2035636863
mp-1040051,LiMg30GaO32,0,Li,O,6,1,1.50787988603,0.383438513939,1,1,2.16495610906,2.16495610906,2.16495610906,2.16495610906,2.26290616554,2.26290616554
mp-1040052,LiMg30GaO32,0,Li,O,6,1,1.48357891974,0.393527250883,1,1,2.17419779627,2.17419779627,2.1961337856,2.1961337856,2.1961337856,2.1961337856
mp-1040079,LiMg30CrO32,0,Li,O,6,1,1.71172842291,0.265629774864,1,1,2.16692267921,2.16692267921,2.16692267921,2.16692267921,2.23477828189,2.23477828189
mp-1040082,LiMg30WO32,0,Li,O,6,1,2.66318903242,-0.273192679483,1,1,2.12524710723,2.12524710723,2.19503466746,2.19503466746,2.19503466746,2.19503466746
mp-1040094,LiMg30CrO32,0,Li,O,6,1,1.41463501636,0.433606857674,1,1,2.17559141832,2.17559141832,2.19976152441,2.19976152441,2.19976152441,2.19976152441
mp-1040095,LiMg30WO32,0,Li,O,6,1,1.9523637206,0.134695332939,1,1,2.18874668849,2.18874668849,2.19625487345,2.19625487345,2.19625487345,2.19625487345
mp-1040115,NaLiMg30O31,1,Li,O,6,1,1.38312254012,0.43723690058,1,1,2.07688507007,2.07688507007,2.17698790301,2.21574372977,2.21574372977,2.25373806294
mp-1040126,LiLaMg30O32,0,Li,O,6,1,3.8756396519,-0.951565901235,1,1,2.0019174357,2.0019174357,2.2449966528,2.2449966528,2.2449966528,2.2449966528
mp-1040127,NaLiMg30O31,1,Li,O,6,1,1.67866070774,0.285955673702,1,1,2.15693474856,2.15693474856,2.17351661782,2.22504200735,2.22504200735,2.22626276788
